branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,college_code,college_name,round
AI Artificial Intelligence,7439,,,6734,,7779,7875,,,4084,,,4605,,,3907,8135,5262,16354,35775,35396,17206,,18801,E001,University of Visvesvaraya College of Engineering Bangalore,Mock1
CE Civil,68898,,,69666,69941,72287,74333,,106460,61284,,72697,66004,,69405,45002,53695,64028,79824,98999,85768,81469,82070,123085,E001,University of Visvesvaraya College of Engineering Bangalore,Mock1
CS Computers,5690,,8190,5561,7429,6464,7208,,10336,3462,,4593,3825,7474,4376,3211,7414,4335,12522,21924,18300,17443,,17805,E001,University of Visvesvaraya College of Engineering Bangalore,Mock1
EC Electronics,9983,,11714,9995,16068,12339,11081,,31185,7594,19963,,6724,,11437,6157,11976,9636,29933,31957,35459,33332,,33883,E001,University of Visvesvaraya College of Engineering Bangalore,Mock1
EE Electrical,23455,38399,27371,23258,26419,26752,33101,,,20957,,,17818,,21279,14958,25264,20432,57941,69479,63753,43095,,54873,E001,University of Visvesvaraya College of Engineering Bangalore,Mock1
IE Info.Science,7386,,,6831,,7255,11745,25997,,4483,,6192,4926,,,4224,7969,5378,26413,,31532,23558,,30720,E001,University of Visvesvaraya College of Engineering Bangalore,Mock1
ME Mechanical,62826,,84940,73927,74639,78235,75759,,77912,49937,,64283,54690,59602,62654,41170,51745,59489,98260,123898,124646,92113,101112,117800,E001,University of Visvesvaraya College of Engineering Bangalore,Mock1
CE Civil,98381,,,92163,93663,97599,101369,,,84557,,,91027,,97068,81166,91373,89157,102539,118675,106094,124285,,128598,E002,S K S J T Institute of Engineering.  Bangalore,Mock1
CS Computers,14283,,17116,14205,,14602,12953,,41540,13226,,18543,11670,16632,,10248,15038,12099,26472,,36758,28286,,,E002,S K S J T Institute of Engineering.  Bangalore,Mock1
EC Electronics,31182,,,29840,,35187,37710,,,24388,,,25641,,29398,23483,24442,27495,55527,,58081,61863,65383,69964,E002,S K S J T Institute of Engineering.  Bangalore,Mock1
ST Silk Tech.,154144,,,121867,,139633,,,,,,,136664,,,112624,135932,117971,143808,,,133093,,,E002,S K S J T Institute of Engineering.  Bangalore,Mock1
TX Textiles,150513,,231397,163489,188573,171474,147320,,,135887,,,161867,,,134552,155328,162260,189964,233310,198936,194798,,,E002,S K S J T Institute of Engineering.  Bangalore,Mock1
CE Civil,53895,,,40481,,47288,73226,,,36824,,,37691,,53382,32553,45050,43081,65667,,80462,61968,113639,68114,E003,"B M S College of Engineering  Basavanagudi,Bangalore",Mock1
EC Electronics,3129,,9998,5099,,6916,6731,,,2260,,,2944,9238,,2025,3761,6088,22053,,35225,22676,,37639,E003,"B M S College of Engineering  Basavanagudi,Bangalore",Mock1
EE Electrical,8704,,27508,14445,25985,22163,22494,,,7764,,,8249,,13305,5466,16260,13014,47027,62536,53189,46280,,,E003,"B M S College of Engineering  Basavanagudi,Bangalore",Mock1
IM Ind. Engg. Mgmt.,61515,,,49712,51972,52000,42204,,67492,27680,,55313,29567,,,27476,38326,49125,105809,108985,143972,82908,,,E003,"B M S College of Engineering  Basavanagudi,Bangalore",Mock1
ME Mechanical,27080,,,32249,,42973,46818,,,23102,81676,38584,21721,,,15458,30114,30585,73510,,126735,56822,,99680,E003,"B M S College of Engineering  Basavanagudi,Bangalore",Mock1
CE Civil,109783,,,102564,128332,106577,135975,,,98198,,,93510,,103335,86742,90775,99792,118026,131192,130423,124601,,131260,E004,Dr. Ambedkar Institute Of Technology  Bangalore,Mock1
CS Computers,10276,16843,,11728,,12073,8354,,,9244,,,8029,,9036,7835,8633,8925,26105,,36387,22048,,28574,E004,Dr. Ambedkar Institute Of Technology  Bangalore,Mock1
EC Electronics,24540,,,22685,24437,26899,31215,,43297,19045,,21647,18806,,21669,18190,21248,21624,49724,50003,58567,57404,76281,58023,E004,Dr. Ambedkar Institute Of Technology  Bangalore,Mock1
EE Electrical,45773,,61832,37995,42718,42270,38319,,,34520,,35378,38190,47893,,32722,33566,34616,68097,,81091,74833,,,E004,Dr. Ambedkar Institute Of Technology  Bangalore,Mock1
EI Elec. Inst. Engg,50987,,72516,55282,,60313,47260,193551,,50378,,,49004,,,44125,49624,54753,134300,151581,152381,122909,,,E004,Dr. Ambedkar Institute Of Technology  Bangalore,Mock1
ET Elec. Telecommn. Engg.,43561,,,48800,,50583,47750,,96208,34570,59946,,36637,,,32685,37798,38135,99509,,111707,89826,,103615,E004,Dr. Ambedkar Institute Of Technology  Bangalore,Mock1
IM Ind. Engg. Mgmt.,66342,,,65746,,90738,49904,,,59574,,,51669,,,49551,78883,83385,108192,,118221,87482,,,E004,Dr. Ambedkar Institute Of Technology  Bangalore,Mock1
ME Mechanical,104306,,141789,103055,103820,110761,119894,,120787,89403,,100709,92952,,111003,82937,98456,94405,135559,164104,168057,160406,175251,168357,E004,Dr. Ambedkar Institute Of Technology  Bangalore,Mock1
AI Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,E005,R. V. College of Engineering  Bangalore,Mock1
BT Bio Technology,19438,,,9022,21775,23528,,,,7289,,,8128,,,3507,,10046,24059,,26097,10999,,,E005,R. V. College of Engineering  Bangalore,Mock1
"CA CS (AI, Machine Learning)",636,,,1341,,1348,1301,,,732,,,804,,1149,486,2072,1130,6562,9060,9040,7269,,12387,E005,R. V. College of Engineering  Bangalore,Mock1
CE Civil,9490,,,20826,,22884,12999,,,,,,10219,34180,,8147,,20367,24576,,69603,33383,,,E005,R. V. College of Engineering  Bangalore,Mock1
CH Chemical,,43342,,6871,,,21456,,81047,6939,,,,,,5878,,13770,22916,,,34127,,,E005,R. V. College of Engineering  Bangalore,Mock1
CS Computers,606,,2671,862,3982,1009,939,,,513,,941,569,,933,268,1119,754,3250,4849,6216,3891,9661,5166,E005,R. V. College of Engineering  Bangalore,Mock1
CY CS- Cyber Security,1387,,,1876,,,2077,8765,,1182,,,1234,,,576,,1258,7192,,8626,4751,,13136,E005,R. V. College of Engineering  Bangalore,Mock1
DS Comp. Sc. Engg- Data Sc.,1566,,,1598,,2016,2036,,,945,,,1008,,,469,2203,1407,6994,,11212,5499,,,E005,R. V. College of Engineering  Bangalore,Mock1
EC Electronics,2679,,,2551,4000,4553,2858,,6095,1788,,3697,1839,,3869,746,3096,3592,13158,25618,19225,15190,56231,22668,E005,R. V. College of Engineering  Bangalore,Mock1
EE Electrical,5702,,18144,6591,,,8086,,,3908,,7154,3455,,,1240,4003,4403,18092,,,20911,,,E005,R. V. College of Engineering  Bangalore,Mock1
EI Elec. Inst. Engg,,,,,,,,,,,,,,,,,,,,,,,,,E005,R. V. College of Engineering  Bangalore,Mock1
ET Elec. Telecommn. Engg.,4733,,14176,5769,,12684,8489,,,3417,45612,,4303,,,1268,,4374,19469,,,19777,,,E005,R. V. College of Engineering  Bangalore,Mock1
IE Info.Science,1499,,,1392,5210,1653,1201,,,929,,,1065,,1398,470,1688,1165,6453,10493,6565,8716,,12532,E005,R. V. College of Engineering  Bangalore,Mock1
IM Ind. Engg. Mgmt.,26141,,,20589,,33510,35895,,,17328,,,27114,,,12521,22126,15299,37927,,103773,19870,,,E005,R. V. College of Engineering  Bangalore,Mock1
ME Mechanical,7711,,,12557,,17616,13964,,52520,6229,,,12340,,,4617,10826,8881,44157,55420,51920,34745,,44826,E005,R. V. College of Engineering  Bangalore,Mock1
SE Aero Space Engg.,8642,,,5295,,5451,6648,,,2013,,,2762,,,1807,6053,2313,8968,,19334,9298,,,E005,R. V. College of Engineering  Bangalore,Mock1
"AD Artificial Intel, Data Sc",2690,,,4422,,5711,3512,,,2951,,,3791,,,2576,,4180,13974,,32167,13531,32207,,E006,M S Ramaiah Institute of Technology  Bangalore,Mock1
AI Artificial Intelligence,2871,,,4644,,5169,4296,,,3232,,,3247,,,2658,2743,3789,12704,,33179,14229,,,E006,M S Ramaiah Institute of Technology  Bangalore,Mock1
BT Bio Technology,20626,,40605,17559,,,22650,,,11495,,,9919,,,8116,25656,13207,28830,,61454,54406,151891,,E006,M S Ramaiah Institute of Technology  Bangalore,Mock1
"CA CS (AI, Machine Learning)",3574,,,4674,,5534,3506,,,2444,,,3031,,4223,2241,3433,3900,16487,17529,30512,15368,,20270,E006,M S Ramaiah Institute of Technology  Bangalore,Mock1
CE Civil,33943,,,30356,,32215,45189,,,28093,,,26514,,,20375,21707,25673,47250,,87623,45191,,,E006,M S Ramaiah Institute of Technology  Bangalore,Mock1
CH Chemical,30064,,,23935,,25716,24057,,,16153,,,19805,26774,,13976,,24533,41702,,64844,37549,,,E006,M S Ramaiah Institute of Technology  Bangalore,Mock1
CS Computers,2284,,,2432,4535,3133,2300,,5976,1658,,,1852,,,1113,2425,2169,8623,10770,12610,11793,,13873,E006,M S Ramaiah Institute of Technology  Bangalore,Mock1
CY CS- Cyber Security,,,,4811,,5171,3244,,,2507,,,3716,,,2382,7166,5085,19046,,33089,15584,,,E006,M S Ramaiah Institute of Technology  Bangalore,Mock1
EC Electronics,6799,,,5204,10112,7060,7000,,,3552,,5369,3759,,5546,3182,4052,4548,24387,28765,25891,21319,,23109,E006,M S Ramaiah Institute of Technology  Bangalore,Mock1
EE Electrical,,,45700,10103,,,12269,,63927,7519,29298,,7369,,,5389,,8330,38614,,,28258,,,E006,M S Ramaiah Institute of Technology  Bangalore,Mock1
EI Elec. Inst. Engg,13533,19265,,16193,,19609,12805,,,19997,,,9658,,,6969,,17513,69490,,117676,52339,,,E006,M S Ramaiah Institute of Technology  Bangalore,Mock1
ET Elec. Telecommn. Engg.,9439,,33996,7290,,,14625,145515,,6244,,,7072,,,4709,,16588,51585,,64677,59507,,,E006,M S Ramaiah Institute of Technology  Bangalore,Mock1
IE Info.Science,4288,,,4526,5810,5336,5141,,,2504,,3669,3166,,3953,2153,2687,3567,17089,26549,22460,15288,,23998,E006,M S Ramaiah Institute of Technology  Bangalore,Mock1
IM Ind. Engg. Mgmt.,55606,,,50394,,,,,68014,37705,,,34155,,59419,32071,40117,32894,102049,,,97265,,,E006,M S Ramaiah Institute of Technology  Bangalore,Mock1
MD Med.Elect.,48041,,,35152,,79687,30549,,,22839,,,39466,,,17445,75751,33287,82030,,105004,79675,,,E006,M S Ramaiah Institute of Technology  Bangalore,Mock1
ME Mechanical,20555,,,37471,,44504,26574,,,26292,,38371,27309,,,17980,50101,32386,96518,97067,114210,94699,,114054,E006,M S Ramaiah Institute of Technology  Bangalore,Mock1
SE Aero Space Engg.,,,,12330,16986,,12232,,25720,5710,,,5770,,,5275,14834,5293,18539,,,17281,,25614,E006,M S Ramaiah Institute of Technology  Bangalore,Mock1
AE Aeronaut.Engg,22925,,,18269,,19983,20854,,,11061,,,13239,,,11049,12892,12270,40865,,57137,27053,,,E007,Dayananda Sagar College of Engineering  Bangalore,Mock1
AI Artificial Intelligence,7375,,,6854,,8542,,,,5586,17834,,5296,,,4505,,5882,25239,,34357,32360,,,E007,Dayananda Sagar College of Engineering  Bangalore,Mock1
AU Automobile,50664,,,65324,139882,,81215,,165920,56117,,,64414,,,39287,55507,53812,92744,,121808,109445,,,E007,Dayananda Sagar College of Engineering  Bangalore,Mock1
BT Bio Technology,25508,,,25496,,44850,35302,,,17759,,,20189,,,11626,43460,26647,49051,,92150,59608,,,E007,Dayananda Sagar College of Engineering  Bangalore,Mock1
CB Comp. Sc. and Bus Sys.,11603,,,12784,,,,,,,,,7983,,,7095,13701,8058,46983,,73794,42100,70152,42889,E007,Dayananda Sagar College of Engineering  Bangalore,Mock1
CD Computer Sc. and Design,13537,,23498,10640,,,9651,,,8413,,11936,8498,,,7324,22427,8475,38827,,,48824,,,E007,Dayananda Sagar College of Engineering  Bangalore,Mock1
CE Civil,89967,,,93430,108086,114979,106228,,,78545,,,82691,,87066,70186,87228,83899,108968,173999,121111,99059,,123121,E007,Dayananda Sagar College of Engineering  Bangalore,Mock1
CH Chemical,47987,119398,95374,32912,,,55852,129040,88516,30740,,,35580,,,29392,,50572,82313,,,106036,,,E007,Dayananda Sagar College of Engineering  Bangalore,Mock1
CS Computers,5822,,6888,6311,8420,7464,7559,,10205,3932,,,4041,,4882,3679,7918,4850,22639,25790,27554,23627,30896,25994,E007,Dayananda Sagar College of Engineering  Bangalore,Mock1
CY CS- Cyber Security,,,,7823,,9841,14436,33606,,5436,,,5660,,,5129,,8023,31015,,44824,35989,,,E007,Dayananda Sagar College of Engineering  Bangalore,Mock1
DS Comp. Sc. Engg- Data Sc.,8180,,,7586,,8996,9192,,,5887,,,5472,13159,,4937,,6502,26762,,35256,25101,,,E007,Dayananda Sagar College of Engineering  Bangalore,Mock1
EC Electronics,12501,,15093,11902,18347,13647,14774,,21879,8280,,,8497,,12854,7793,16361,12702,47320,59365,51400,39850,62214,51184,E007,Dayananda Sagar College of Engineering  Bangalore,Mock1
EE Electrical,22396,,,24281,,27775,37489,,,22735,,,20645,,30314,19185,25995,23854,75285,78200,87549,74972,,78853,E007,Dayananda Sagar College of Engineering  Bangalore,Mock1
EI Elec. Inst. Engg,38391,,,27216,,,40387,,,25699,,29182,22754,,,20630,40917,23901,97426,,135101,67912,,,E007,Dayananda Sagar College of Engineering  Bangalore,Mock1
ET Elec. Telecommn. Engg.,29739,,47178,28384,,38942,28103,,,20106,,,21290,,,16037,45927,29886,96282,163220,109735,97258,,134534,E007,Dayananda Sagar College of Engineering  Bangalore,Mock1
"IC CS-IoT, Cyber Security",12799,,,11226,,,13148,134037,32663,7614,,8546,7482,,,6771,,8444,39096,,,36991,,,E007,Dayananda Sagar College of Engineering  Bangalore,Mock1
IE Info.Science,9701,,,8076,11816,9004,11724,,,5476,,,5304,,7499,4999,10969,6536,29328,33033,41707,31284,,31510,E007,Dayananda Sagar College of Engineering  Bangalore,Mock1
MD Med.Elect.,,,,70218,105359,78368,79955,,,53832,,90033,44202,,,43395,95135,65786,107996,,,119381,,173421,E007,Dayananda Sagar College of Engineering  Bangalore,Mock1
ME Mechanical,41983,,,66210,,74837,51546,,,45961,,,52640,77926,79586,39240,70478,64669,131780,,170817,109087,,109132,E007,Dayananda Sagar College of Engineering  Bangalore,Mock1
RI Robotics and AI,11870,,,12107,,20970,28508,,,10335,,,9774,,,8368,28094,13610,39771,,69919,39796,,,E007,Dayananda Sagar College of Engineering  Bangalore,Mock1
AI Artificial Intelligence,7743,,,7649,,13000,10906,,,5758,,,5734,,,5621,11575,8856,30015,,40587,21822,,,E008,Bangalore Institute of Technology  Bangalore,Mock1
CE Civil,88208,,,111302,,119376,86550,,,80361,,,86551,,105876,76521,88946,93359,138967,156749,160183,113811,,120735,E008,Bangalore Institute of Technology  Bangalore,Mock1
CS Computers,7417,,8208,7749,10522,8256,10434,,18532,5405,,,5415,,5931,4855,10297,5765,26744,27266,30577,25565,37113,31652,E008,Bangalore Institute of Technology  Bangalore,Mock1
DS Comp. Sc. Engg- Data Sc.,11499,29425,,8934,,10736,11768,,,7426,,,9194,,,6860,,9718,34852,,52338,28375,,,E008,Bangalore Institute of Technology  Bangalore,Mock1
EC Electronics,16250,,,14078,18942,15680,23909,,,10182,,,11441,,13871,9785,18504,13525,51618,53475,69524,52279,,60968,E008,Bangalore Institute of Technology  Bangalore,Mock1
EE Electrical,,,44619,25820,,,,,,22268,,,23546,,,20350,30681,25758,77157,,99538,57012,113383,,E008,Bangalore Institute of Technology  Bangalore,Mock1
EI Elec. Inst. Engg,26214,,,40445,,,43167,,,27342,,40619,28085,,,25086,59681,40263,117247,,,127576,,,E008,Bangalore Institute of Technology  Bangalore,Mock1
ET Elec. Telecommn. Engg.,30892,,,28640,,,28994,153865,49965,,,33065,21084,,,18713,,23724,72021,,,122389,,,E008,Bangalore Institute of Technology  Bangalore,Mock1
EV EC  Engg(VLSI Design),24727,,,20345,,,37898,,191551,,39112,33122,26038,,,17869,,24631,92607,,,78667,,,E008,Bangalore Institute of Technology  Bangalore,Mock1
"IC CS-IoT, Cyber Security",12547,,,12233,,13938,16073,,,11393,,,10399,26085,,8628,,12705,42726,,65179,30712,,,E008,Bangalore Institute of Technology  Bangalore,Mock1
IE Info.Science,10534,,,10520,17210,11754,12284,,,7160,,,8707,,9410,7092,11113,9246,42290,71852,56779,38607,,39322,E008,Bangalore Institute of Technology  Bangalore,Mock1
ME Mechanical,57321,,130945,79713,119115,103808,74475,,,60374,,,57579,,,55398,78324,65111,149512,,162016,176354,,212445,E008,Bangalore Institute of Technology  Bangalore,Mock1
RI Robotics and AI,14573,,,13689,,18427,24954,,,13572,,,14923,,,11800,23000,16497,70256,,82321,64521,,,E008,Bangalore Institute of Technology  Bangalore,Mock1
AM B Tech in AM,6203,,7447,5050,8027,7012,6894,,11584,2577,,4676,2987,9953,4741,1882,7845,4558,23960,30385,48261,27702,29759,29644,E009,P E S University (Ring Road Campus)  Bangalore,Mock1
BB B Tech in EC,7479,,10089,7223,11179,8974,8933,,10654,3576,13633,8254,4872,,8111,3045,10014,7139,34210,43966,51758,39289,,40570,E009,P E S University (Ring Road Campus)  Bangalore,Mock1
BJ B Tech in EE,8775,,15831,12264,,,14567,78826,,5793,,,6297,,,5037,,9211,44041,,75243,26538,,,E009,P E S University (Ring Road Campus)  Bangalore,Mock1
BO B Tech in BT,19401,,,16905,44204,48080,,,101485,,,,16641,,,7806,,26265,69650,,,67355,,,E009,P E S University (Ring Road Campus)  Bangalore,Mock1
BW B Tech in CS,4030,9396,6033,3276,8006,4886,3559,,6750,1770,,2919,2023,6701,3463,1205,6337,2187,16546,29723,28923,22691,27503,29133,E009,P E S University (Ring Road Campus)  Bangalore,Mock1
DB B Tech in ME,,,,28118,,,30435,,,25824,,,24945,,,12807,,26679,44415,96828,96205,50952,,,E009,P E S University (Ring Road Campus)  Bangalore,Mock1
AE Aeronaut.Engg,61170,,,66190,,73693,69335,,,48998,,,51248,,,44526,54493,59718,84324,115371,95789,87166,,105046,E011,M V J College of Engineering  Bangalore,Mock1
AI Artificial Intelligence,,,,22020,,,20152,,,21292,,22966,19998,34780,,19753,,20930,51570,,74055,36539,,,E011,M V J College of Engineering  Bangalore,Mock1
CD Computer Sc. and Design,28329,70253,,36461,,38462,40985,,,,,,28886,,,27587,,30348,74356,,130172,106215,,,E011,M V J College of Engineering  Bangalore,Mock1
CE Civil,,,,111698,,,,,,,,,,,,96194,120680,109285,110434,,,,,,E011,M V J College of Engineering  Bangalore,Mock1
CH Chemical,,,,58922,,,,,,61211,,,,,,47225,75517,68855,70135,,,,,,E011,M V J College of Engineering  Bangalore,Mock1
CS Computers,24921,,,24125,30239,27355,25251,,,21281,,22405,20816,,22253,19456,23675,22087,58739,60362,70317,46127,,52815,E011,M V J College of Engineering  Bangalore,Mock1
DS Comp. Sc. Engg- Data Sc.,25858,,38581,25546,,31297,,,,24565,32705,,23928,,,23326,,24834,63400,,,24592,,,E011,M V J College of Engineering  Bangalore,Mock1
EB EAT,,,,42722,,49518,61040,121647,,36239,,50343,35829,,,35361,,41370,106885,,,120444,,,E011,M V J College of Engineering  Bangalore,Mock1
EC Electronics,36568,,,35494,44896,41519,42825,,,32201,,,32151,,34626,31524,35757,34557,81869,112762,92870,96622,,135236,E011,M V J College of Engineering  Bangalore,Mock1
EE Electrical,,,,53290,,,,,186447,46145,,,,,,41034,,49819,97943,,,82144,,,E011,M V J College of Engineering  Bangalore,Mock1
EV EC  Engg(VLSI Design),51856,,150006,57186,,,58705,,,,,,50619,,,47944,,50385,129785,,188344,150215,,,E011,M V J College of Engineering  Bangalore,Mock1
IE Info.Science,25188,,,30112,31387,30430,31942,,,25130,,,25224,,28512,23921,28590,25888,79098,,92587,74106,,105567,E011,M V J College of Engineering  Bangalore,Mock1
ME Mechanical,97356,,,113100,,,,,235381,,,,,,,91784,,114669,153769,,,177404,,,E011,M V J College of Engineering  Bangalore,Mock1
OT Industrial IOT,,,,98649,,,,,132441,,,,,,,64747,,100088,137795,,,134782,,,E011,M V J College of Engineering  Bangalore,Mock1
SE Aero Space Engg.,72473,,,49678,,76228,41051,,,31614,,,32098,,,31604,35016,60901,69059,,112709,65158,,,E011,M V J College of Engineering  Bangalore,Mock1
AI Artificial Intelligence,13254,,,14836,,17407,19492,,,12523,21915,,11580,,,11444,,14260,35474,,55337,33189,,,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",Mock1
BT Bio Technology,36929,,,26560,,37825,50560,,,30715,,,23270,,,19891,41998,34867,68032,,134440,83332,,,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",Mock1
CE Civil,103712,106979,,113659,,123639,129043,,,93115,,,88038,,,85307,,100257,126094,,149121,93148,,,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",Mock1
CS Computers,16643,,17847,15183,15322,17841,18849,,25864,11530,,,11961,,14380,11277,13840,14241,40572,49719,48378,39457,42171,46805,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",Mock1
DS Comp. Sc. Engg- Data Sc.,17574,,,17058,25355,21275,,,,,,16135,15279,,,14678,19874,15809,54289,,,39586,,,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",Mock1
EC Electronics,23434,,25515,23106,,23447,32448,,,18310,,,19865,,,17985,20828,21394,66151,97165,75920,62605,,64389,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",Mock1
EE Electrical,49264,,,43804,45805,55411,49584,,,37464,,,43011,,45468,35790,41749,42740,108319,,130623,76642,,86707,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",Mock1
ES Electronics and Computer,,,,29299,,,28123,,,23856,,29233,24651,,,22654,27183,22934,85856,121428,150751,79928,,,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",Mock1
"IC CS-IoT, Cyber Security",21563,,24799,19690,,,25836,,,17404,,,17441,30581,,16830,,23076,79087,,115585,63435,,,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",Mock1
IE Info.Science,18319,,,18546,,20946,20547,,,14389,,,14954,,17040,14333,20117,16903,61455,82425,65361,60801,,71689,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",Mock1
ME Mechanical,76948,,,91736,,,80251,168542,198300,81190,,96155,89004,,,76048,,94777,155130,,,146739,,,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",Mock1
RI Robotics and AI,28136,,,28321,,29577,30548,,,19867,,,20904,,,19819,30038,21509,70961,,122175,54213,,,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",Mock1
TC Telecommn.,60832,,,54735,,,53319,,,43207,,,50135,,,40233,71156,66638,144947,,,163789,,,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",Mock1
AI Artificial Intelligence,85249,,,68938,,95910,78968,,,64990,,,66384,,,63683,,64336,101552,225292,172664,117285,,,E013,Ghousia Engineering College  Ramanagara,Mock1
CE Civil,,,,163486,,,,,,,142089,,,,,127812,,148403,154764,,,184865,,,E013,Ghousia Engineering College  Ramanagara,Mock1
CS Computers,90017,,,86965,90353,90515,70078,,,69069,,,70650,,71630,63833,67004,68870,117045,140556,137715,119558,,126082,E013,Ghousia Engineering College  Ramanagara,Mock1
CY CS- Cyber Security,,,104081,92009,,,,,,,,,93843,,,77911,,84027,105527,,,139635,,,E013,Ghousia Engineering College  Ramanagara,Mock1
EC Electronics,82895,,,90836,,105850,93243,,,79941,,,78454,,,77024,93531,79929,158131,,202773,122922,,,E013,Ghousia Engineering College  Ramanagara,Mock1
EE Electrical,,,,117630,,,104150,,,,,,105765,,,104014,,114477,172251,,,178835,,,E013,Ghousia Engineering College  Ramanagara,Mock1
IE Info.Science,94840,,,95522,125682,104401,86518,,,91061,,,96274,,,85044,,92300,167794,,,147348,165193,179020,E013,Ghousia Engineering College  Ramanagara,Mock1
ME Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,E013,Ghousia Engineering College  Ramanagara,Mock1
RI Robotics and AI,,,,119011,,,,,,104208,,147468,,,,99791,,101488,122153,,,,,,E013,Ghousia Engineering College  Ramanagara,Mock1
"AD Artificial Intel, Data Sc",49106,,,44799,,,57008,,97885,39557,,44207,37242,,,37017,42082,42352,95010,,,100059,,,E014,S J C Institute of Technology  Chickballapur,Mock1
AE Aeronaut.Engg,66423,121981,,53882,,,,,,,,,,,,49183,,51002,85817,,,73191,,,E014,S J C Institute of Technology  Chickballapur,Mock1
"CA CS (AI, Machine Learning)",49519,,,49524,,,66990,,75421,42951,,,43588,,,41237,52632,44460,91792,122318,131958,109699,,,E014,S J C Institute of Technology  Chickballapur,Mock1
CD Computer Sc. and Design,70137,,,97546,,119737,70537,,,69447,,,80491,101617,,61597,,66480,148374,,149608,145064,,,E014,S J C Institute of Technology  Chickballapur,Mock1
CE Civil,132037,,,151520,,173508,173966,,,133156,140616,,154292,,,119205,,139099,171313,,194738,165939,,,E014,S J C Institute of Technology  Chickballapur,Mock1
CK Civil Engg (Kannada),,,,268482,,,,,,186859,,,,,,165720,,211205,230140,,,,,,E014,S J C Institute of Technology  Chickballapur,Mock1
CS Computers,41820,,,44519,57853,46788,47004,,,33618,,,35106,,37421,32554,34081,36222,78602,85006,90842,81920,,102756,E014,S J C Institute of Technology  Chickballapur,Mock1
EC Electronics,82594,,,67074,91649,75721,79366,,,58884,,,65884,,69053,57996,69510,64079,138416,168767,153224,120900,,181260,E014,S J C Institute of Technology  Chickballapur,Mock1
IE Info.Science,54363,,,59033,,61773,52056,,,49284,,,61437,,73640,47583,62152,51913,128483,,134029,106647,223355,173472,E014,S J C Institute of Technology  Chickballapur,Mock1
ME Mechanical,,,,109966,,,,,,,,140034,107515,,,107017,134091,132922,169398,,,177830,,,E014,S J C Institute of Technology  Chickballapur,Mock1
SE Aero Space Engg.,,,89153,51381,,,67921,,,,,,,,,35011,,39125,63320,,,56445,,,E014,S J C Institute of Technology  Chickballapur,Mock1
"CA CS (AI, Machine Learning)",97774,,,101201,,103451,78904,,,90866,,,98366,,,75287,75299,81240,106022,184354,176546,151314,269693,,E015,Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District,Mock1
CE Civil,,,,,,,,,,,,,,,,,,,,,,,,,E015,Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District,Mock1
CS Computers,105152,,111547,100846,107807,111000,95423,,,90418,,99045,93639,,100966,85816,88706,96298,130252,147011,142892,117920,145931,149785,E015,Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District,Mock1
EC Electronics,131883,,,106525,,120573,113552,,117898,101559,,,108009,116838,,98131,114040,106536,137002,,204849,183832,,,E015,Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District,Mock1
EE Electrical,,,177403,140547,,,145610,,205754,130557,,,,,,121055,,140055,142149,,,185621,,,E015,Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District,Mock1
ME Mechanical,,,,191093,,,213417,,,186192,,,186208,,,166451,191857,197006,215965,,,227530,,,E015,Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District,Mock1
MI Mining Engineering,,,,210333,,,,,,,,179024,,,,123989,124652,177313,208696,,262700,139509,,,E015,Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District,Mock1
"AD Artificial Intel, Data Sc",13745,,21730,12185,,,20007,,,10266,,13253,10086,22226,,9892,13915,10823,34602,,,33116,,,E016,Siddaganga Institute of Technology  Tumkur,Mock1
BT Bio Technology,66411,,,36293,,,48073,,143381,31772,,,,,,30551,56589,53631,76985,,,82126,,,E016,Siddaganga Institute of Technology  Tumkur,Mock1
